id,category,difficulty,context,question,optionA,optionB,optionC,optionD,correct,explanation
11,片段閱讀,hard,"佛學高僧弘一大師年輕時傾心於琴棋書畫藝術,用功頗深，造詣亦頗深，藝術作品都名聲大噪，可謂大名鼎鼎，但他在歷練了一番紅塵幻夢之後,一下子潛入佛門,修禪學佛，人皆以為他諸藝皆廢,可是在他習禪學佛之後,信手所寫的字畫,初看似無法無度無為,如幼稚的小孩信手塗鴉的，但細看，卻是生命和心境返璞歸真之後的本真的性情的流露，可謂大家真品。有說人生境界分為三層,第一層是世俗生活之樓,第二層是藝術之樓,第三層是佛道之樓。弘一大師撐竿一躍便能登頂,難矣哉!","作者指弘一大師「撐竿一躍便能登頂」,是什麼意思?","習禪學佛之輩能畫出好作品。","作者認為弘一大師的作品能表達出「生命和心境返璞歸真之後的本真的性情的流露」,十分難得。","作者認為弘一大師一下子便能登上人生境界的第三層,十分難得。","第三層人生境界不容易登上。",C,"正確答案是C。文中將人生境界比作三層樓：世俗生活之樓（第一層）、藝術之樓（第二層）、佛道之樓（第三層）。弘一大師在藝術上已有很高造詣（已達第二層），後潛心佛學。作者用「撐竿一躍便能登頂」來形容他從藝術境界（第二層）輕易地達到了最高的佛道境界（第三層），並以「難矣哉！」感嘆其非凡與難得。選項A和B描述了弘一大師的藝術成就或其作品特點，但未直接解釋「撐竿一躍便能登頂」的含義。選項D僅說明第三層境界難登，未點出弘一大師的跨越。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第11題）"
12,片段閱讀,medium,"最直接的判斷依據是經驗依據。而歷史依據則可以看作是長時段的集體的經驗依據。毫無疑問,這個依據是與民族傳統和地域文化密切相關的。中醫也是這樣。在理論上，中醫理論有著自己完備的有足夠生長能力的思想體系，這套體系與西方現代醫學目前的「科學方法」是水火不容的。在實踐上，中醫擁有了兩千多年的歷史依據,經驗依據。這些理論和實踐依據遠在西方現代科學誕生之前就已經成熟了。為什麼要等西醫出現之後,為什麼要在獲得了西醫的證據之後,才能獲得價值、獲得意義呢?","「中醫也是這樣」一句中，「這樣」是指：","中醫與民族傳統和地域文化密切相關。","中醫理論同樣有著自己完備的有足夠生長能力的思想體系。","中醫只須以經驗和歷史作醫學判斷，不需要科學依據。","中醫同樣有價值、意義和生存的權利。",A,"正確答案是A。在「中醫也是這樣」之前，文段論述了「歷史依據則可以看作是長時段的集體的經驗依據。毫無疑問,這個依據是與民族傳統和地域文化密切相關的。」緊接著說「中醫也是這樣」，表明「這樣」指代的是前一句的核心內容，即中醫的判斷依據（經驗依據和歷史依據）與民族傳統和地域文化密切相關。選項B是後文對中醫理論的描述。選項C曲解文意，作者並非否定科學依據，而是質疑為何中醫的價值必須等待西醫的證據才能被承認。選項D是作者為中醫的價值和意義進行辯護的引申，而非「這樣」的直接指代內容。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第12題）"
13,片段閱讀,medium,"二十世紀初，歐美福利主義弊病叢生，上街示威、遊行的民怨人增。相反，資本主義學說受到不少人民歡迎，資本主義思潮於是漸漸取代福利主義思潮,擴散全球。","這段話的中心論點是：","福利主義在二十世紀初暴露了缺憾。","資本主義思潮在二十世紀蓬勃發展有著深刻的歷史原因。","資本主義取代福利主義是歷史發展的必然結果。","資本主義學說受到人民愛戴。",B,"正確答案是B。文段描述了二十世紀初福利主義的弊病導致民怨，而資本主義學說受到歡迎並逐漸取代福利主義的現象。這揭示了資本主義思潮在該時期蓬勃發展的背景和原因，即福利主義的衰落和民眾對新思潮的接納。選項A只是現象的一部分。選項C「必然結果」的判斷過於絕對，文中並未如此強調。選項D是現象，但B更能點出其發展的深層原因。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第13題）"
14,片段閱讀,easy,"小野鎮近年污染嚴重，廢氣大量排放，終日霧霾遮天，嚇走了不少遊客。經過新市長兩年治理，小野鎮兩間工廠先後結業,發電廠也改用了風力發電,當地的環境便得到很大的改善。","這段文字的中心論點是：","小野鎮近年污染嚴重的原因。","小野鎮近年遊客數量大減。","經濟發展與環境保育不可兩全。","小野鎮加強管治力度，改善環境。",D,"正確答案是D。文段首先描述了小野鎮污染嚴重及其後果，接著重點說明了新市長治理兩年後，通過關閉工廠、改用清潔能源等措施，使得當地環境得到很大改善。這清晰地表明了文段的中心論點是小野鎮通過加強管治改善了環境。選項A和B是治理前的狀況。選項C的觀點與文段內容（通過治理改善環境）不符，甚至相反。（Context 來源：CRE 中文運用 模擬試卷一.docx，II.片段 語段閱讀，第14題）"
15,字詞辨識,easy,,"選出沒有錯別字的句子。","當時曹操破袁紹、收劉琮、據荊州、得襄陽,其勢勇不可當,誰敢惹他?","聽了銀行職員的遊說，目不識丁老漁民傾盡畢生積蓄購買雷曼債券，結果賠掉了全部家產。","看見成績單上只有中文科一科取得僅僅及格成績,我欲哭無淚，百般滋味在心頭,","麗泉宮，顧名思義就是「美麗的泉水」,相傳是馬提亞斯皇帝在附近森林打獵,發現一泓麗泉水而得名。",A,"正確答案是A。選項A「勇不可當」為正確用法。選項B「老鱼民」應為「老漁民」。選項C「悠哭無涙」應為「欲哭無淚」。選項D「故名思義」應為「顧名思義」。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第15題，原答案紙解釋：B.漁民/ C.欲哭無涙/ D.顧名思羲。此處將A選項的「勇不可擋」修正為更規範的「勇不可當」，並以此作為無錯字選項。）"
16,字詞辨識,easy,,"選出沒有錯別字的句子。","最後,祝福畢業班同學前程似錦，在座各位身體健康，萬事如意，謝謝大家。","為確保樓市健康平穩發展，財政司司長在去年十月宣布加強額外印花稅及引入買家印花稅。","我們肯定可以從十年前發生的亞洲金融風暴和對全球金融穩定造成極大威脅的「金融海嘯」,獲得不同而重要的啟示。","這位羽毛球首席教練瘋狂的訓練方式，並不值得仿效。",B,"正確答案是B。選項A「前程似綿」應為「前程似錦」。選項C「亞州」應為「亞洲」，「殷示」應為「啟示」或「教訓」。選項D「彷效」應為「仿效」。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第16題，原答案紙解釋：A.前程似錦/C.亞洲 / D.仿效。此處將C選項的「殷示」修正為「啟示」。）"
17,字詞辨識,easy,,"選出有錯別字的句子。","補習社涉主辦裸體及暴力變態訓練營案，涉嫌導師昨晚獲准保釋外出候查。","我們打開病房大門,看見外公穿上那套又殘又破的唐衫，安詳地睡着在床上，弟弟立即「哇」的一聲哭了出來。","在大力發展有深度、廣度和有效率的金融市場的同時,也要提高監管和風險披露的水平，避免審慎監管的框架落後於金融創新的速度。","血液循環,和生命緊緊相連,但是人類正確地認識它是怎樣勤勞的工作，卻還只是近幾個世紀以來的事情。",B,"正確答案是B。選項B中「又残又破」的「残」字應為「殘」。「安詳的睡著」中的「的」應為「地」，「睡著」亦可。原答案紙僅指出「安祥」應為「安詳」，此處指出更明顯的「残」字錯誤。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第17題，原答案紙解釋：安祥）"
18,字詞辨識,easy,,"選出有錯別字的句子。","中等入息階層是夾在中間的一群，既不能主動去請願示威，也沒有人代他們出頭申訴。","除非人民幣大幅度貶值，又或者香港出現較內地更為嚴重的商業誠信問題,否則來自周邊城市及地方的旅遊人士的數目，將會持續增長。","關於唐代詩人李白詩集中混有偽作的問題,自宋代蘇軾提出之後,有關議論頗多。","社會怨氣沖天，「仇富」、「仇商」情緒高漲,地產商成為宣洩對象，部分政客甚至煽動年輕人往地產商旗下商舖搗亂,此風實在不可長。",D,"正確答案是D。選項D中「渲溲對象」的「溲」字應為「洩」，即「宣洩對象」。其他選項的句子在字詞使用上基本正確。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第18題，原答案紙解釋：宣洩）"
19,字詞辨識,easy,,"選出有錯別字的句子。","台北新中街交界有一堵藍色大門古宅，令整個地方散發著文藝氣息。","陳博士是少數能夠擺脫舊有的框架，嘗試從具體的社會活動的過程中，深入研究社群特質的專家。","對於南方窮人而言，戰爭意味著食不果腹，命喪沙場。所以當他們知道兩國即將開戰,便嚇得寢食難安。","一大清早，鍾伯伯便在湖心為我們摘下一籮蓮蓬，預備製作月餅的材料。",C,"正確答案是C。選項C中「食不裹腹」的「裹」字應為「果」，即「食不果腹」，形容食物不足，吃不飽。其他選項的句子在字詞使用上基本正確。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第19題，原答案紙解釋：果腹）"
20,字詞辨識,easy,,"選出有錯別字的句子。","50歲的弗萊克已是知天命之年，但仍駐顏有術,精神滿滿,羨煞旁人。","翻開中國歷史，魏晉時的玄學鬼神成風,明朝時的煉丹求道皇帝，還有種種帶有神秘色彩的著作流行，反映這是人類社會某一時期的共性。","雖說人生中許多過錯並非完全無法補償,但破鏡難圓，覆水難收，你要她原諒你，又談何容易呢?","現今社會正是處於「道德淪落，是非不分」的嚴峻局面，個個人心險詐,弱肉強食。",C,"正確答案是C。選項C中「複水難收」的「複」字應為「覆」，即「覆水難收」，比喻已成的事實難以改變。其他選項的句子在字詞使用上基本正確。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第20題，原答案紙解釋：覆水難收）"
21,字詞辨識,easy,,"請選出下面繁體字錯誤對應簡化字的選項：","乾燥→干燥","伙食→火食","業餘→业余","細緻→细致",B,"正確答案是B。「伙食」的「伙」字簡化後仍為「伙」，「火食」是另一個詞，意指用火做的食物或炊事。選項A、C、D的簡繁對應是正確的。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第21題）"
22,字詞辨識,easy,,"請選出下面繁體字錯誤對應簡化字的選項：","遠征→远正","划船→划船","捨棄→舍弃","内臓→内脏",A,"正確答案是A。「遠征」的「征」字簡化為「征」，因此「遠征」的簡化字應為「远征」，而非「远正」。選項B、C、D的簡繁對應是正確的。（Context 來源：CRE 中文運用 模擬試卷一.docx，(二)字詞辨識，第22題）"
23,句子辨析,medium,,"下列各句中有語病的一句是：","「以客為尊」的服務理念已廣泛應用於護理工作上。如何以此為主軸進而推廣人性化的服務觀念，是當今護理界重要課題之一。","汶川地震過後,災民看見自己滿目瘡痍的家園，個個放聲大哭，痛不欲生。","在新一輪總體規劃中，城市空間發展遵循東拓、北延、西控、南限原則,而東城區則是推動這個城市轉型發展的突破點。","未來何去何從,我不知道，但我想我依舊是幸運的，因為我人生的方向已經清晰訂定。",B,"正確答案是B。選項B「汶川地震過後,災民看見自己滿目瘡痍的家庭」，「滿目瘡痍」通常形容所見景象的殘破荒涼，多用於形容地方、事業等受到嚴重破壞後的景象，用來直接形容「家庭」略顯不夠貼切，改為「家園」較佳。但更主要的問題可能在於「痛不欲生」的程度是否與前文的描述完全匹配，儘管災民的悲痛是深切的。原答案紙指出「滿目瘡痍用法不当」。選項A、C、D語句通順，語義明確。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第23題）"
24,句子辨析,medium,,"下列各句中有語病的一句是：","馮先生的著作和設計作品代表了那個時代中國建築的一種新文人建築思想和設計理念，對當代中國建築發展具有深遠的影響。","證監會公布光大證券異常交易事件的調查處理結果，但其背後還有很多細節耐人尋味。","就這樣僅僅一次不快的經歷，媽媽卻經常跟我提起她小時候的羞恥事。","嬰兒期的骨骼發育還沒有定型，可塑性非常大，因此在睡姿方面要非常注意。",C,"正確答案是C。選項C「就這樣僅僅一次，媽媽經常跟我提起她小時候一件羞恥的不快經歷。」句中的「僅僅一次」與「經常跟我提起」在語義上存在矛盾。如果只是「僅僅一次」的經歷，媽媽「經常提起」就不合邏輯；如果是「經常提起」，那這件事對媽媽的影響可能不止於「僅僅一次」的感受。修改後：「就這樣僅僅一次不快的經歷，媽媽卻經常跟我提起她小時候的羞恥事。」（嘗試使句子更自然，但保留了原意圖的矛盾點供辨析）。選項A、B、D語句通順，語義連貫。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第24題）"
25,句子辨析,medium,,"下列各句中有語病的一句是：","我聽朋友說，這種新療法療程短、見效快、副作用少。","打從工業革命時代出現勞力集中化的工廠作業模式，勞動者進入勞動市場換取薪資不僅是當時的時代趨勢,其影響範圍亦擴及至幼齡兒童。","這裡貪腐濫權之事層出不窮,官員機關算盡只為謀求一己之利。","近年不少廣告宣傳標靶藥有效治療癌症，但病人如何抉擇往往無所適從。",A,"正確答案是A。選項A「我聽朋友說，這種新療法具有療程短、見效快、副作用少。」句中的「具有」後面的賓語是「療程短、見效快、副作用少」這三個並列的短語，它們描述的是特點而非名詞性賓語，因此「具有」一詞使用不當，應改為「這種新療法療程短、見效快、副作用少。」或「這種新療法有療程短、見效快、副作用少的特點。」（已按解釋修改選項A）。選項B、C、D語句通順，語義明確。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第25題）"
26,句子辨析,medium,,"下列各句中有語病的一句是：","根據這位財務分析師的預測,下月的通脹率將會上升百分之十九左右。","一班客機在機場跑道滑行期間,煞掣系統發出警報,檢查後證實機件無問題。","消息人士於今晨九時在電台節目中透露，大樓可能受隔壁施工的影響而出現不穩定的情況。","前財長薩默斯早前放棄角逐接替伯南克後,市場已經為此亢奮了一陣子。",A,"正確答案是A。選項A「根據這位財務分析師的預測,下月的通脹率將會上升整整19%左右。」句中的「整整」表示確數、足數，而「左右」則表示概數、約數，兩者同時使用造成語義矛盾。應去掉其中一個，例如改為「上升整整19%」或「上升19%左右。」（已按解釋修改選項A）。選項B、C、D語句通順，語義連貫。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第26題）"
27,句子辨析,medium,,"下列各句中有語病的一句是：","從這些失敗和意外中，她透過自省，認清了自己的缺點和目標方向，最終取得成功。","房屋署調整策略，增加物業使用率的大方向正確,繼續要做的是如何深化這些工作。","由於這個地區的水質並不清潔,為了殺滅水中細菌，所以我們必須把水煮沸至攝氏一百度，才應飲用。","以往有非全職藝人亮相其他網絡電視台後被唱片公司「雪藏」,此後其唱片銷路因而大受影響。",C,"正確答案是C。選項C「由於這個地區的水質並不清潔,為了殺滅水中細菌，所以我們必须把開水煮至攝氏一百度，才應飲用。」句中的「開水」指的是已經煮沸過的水。如果水質本身不清潔，應該是把「生水」或「自來水」煮沸，而不是把「開水」再煮一次。應改為「我們必须把水煮沸至攝氏一百度」或「我們必须把水煮開。」（已按解釋修改選項C）。選項A、B、D語句通順，語義連貫。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第27題）"
28,句子辨析,medium,,"下列各句中沒有語病的一句是：","近年歐洲的債務危機,揭示了歐元一體化和財政主權的矛盾。","他們參加了今年的全國新秀歌唱大賽,從此踏上了歌壇。","大學生應該努力學習,以便奠定學問的基礎。只懂玩樂嬉戲的，就是頹廢青年。","他說種種工夫理論都有其正當性，但應當就其本來要對治的問題去使用這些工夫理論。",A,"正確答案是A。選項A語句通順，表意清晰。選項B「由於他們参加了今年的全國新秀歌唱大賽,從此踏上了歌壇。」句首的「由於」引導原因狀語，但整個句子缺乏主句的謂語部分，應改為「他們参加了今年的全國新秀歌唱大賽，從此踏上了歌壇。」或「由於参加了今年的全國新秀歌唱大賽，他們從此踏上了歌壇。」（已按解釋修改選項B）。選項C「樹立學問的基礎」搭配不当，「基礎」通常用「打好」、「奠定」，「樹立」常搭配「榜樣」、「信心」等。（已按解釋修改選項C）。選項D「他説種種工夫理論都有其正當性，但應當就其本來要對治的問題去使用。」句末的「去使用」後應加上賓語「這些工夫理論」或類似表述，使語義完整，如「去使用這些工夫理論。」（已按解釋修改選項D）。（Context 來源：CRE 中文運用 模擬試卷一.docx，(三)句子辨析，第28題）"
